"","library","sample","month","replicates"
"1","D5_0_1","D5",0,1
"2","D5_1_1","D5",1,1
"3","D5_2_1","D5",2,1
"4","D5_3_1","D5",3,1
"5","D5_4_1","D5",4,1
"6","D5_5_1","D5",5,1
"7","D5_6_1","D5",6,1
"8","D5_7_1","D5",7,1
"9","D5_8_1","D5",8,1
"10","D5_9_1","D5",9,1
"11","D5_11_1","D5",11,1
"12","D5_12_1","D5",12,1
"13","D5_13_1","D5",13,1
"14","D5_15_1","D5",15,1
"15","D5_16_1","D5",16,1
"16","D5_17_1","D5",17,1
"17","D5_20_1","D5",20,1
"18","D5_0_2","D5",0,2
"19","D5_1_2","D5",1,2
"20","D5_2_2","D5",2,2
"21","D5_3_2","D5",3,2
"22","D5_4_2","D5",4,2
"23","D5_5_2","D5",5,2
"24","D5_6_2","D5",6,2
"25","D5_7_2","D5",7,2
"26","D5_8_2","D5",8,2
"27","D5_9_2","D5",9,2
"28","D5_11_2","D5",11,2
"29","D5_12_2","D5",12,2
"30","D5_13_2","D5",13,2
"31","D5_15_2","D5",15,2
"32","D5_16_2","D5",16,2
"33","D5_17_2","D5",17,2
"34","D5_20_2","D5",20,2
"35","D5_0_3","D5",0,3
"36","D5_1_3","D5",1,3
"37","D5_2_3","D5",2,3
"38","D5_3_3","D5",3,3
"39","D5_4_3","D5",4,3
"40","D5_5_3","D5",5,3
"41","D5_6_3","D5",6,3
"42","D5_7_3","D5",7,3
"43","D5_8_3","D5",8,3
"44","D5_9_3","D5",9,3
"45","D5_11_3","D5",11,3
"46","D5_12_3","D5",12,3
"47","D5_13_3","D5",13,3
"48","D5_15_3","D5",15,3
"49","D5_16_3","D5",16,3
"50","D5_17_3","D5",17,3
"51","D5_20_3","D5",20,3
"52","D6_0_1","D6",0,1
"53","D6_1_1","D6",1,1
"54","D6_2_1","D6",2,1
"55","D6_3_1","D6",3,1
"56","D6_4_1","D6",4,1
"57","D6_5_1","D6",5,1
"58","D6_6_1","D6",6,1
"59","D6_7_1","D6",7,1
"60","D6_8_1","D6",8,1
"61","D6_9_1","D6",9,1
"62","D6_11_1","D6",11,1
"63","D6_12_1","D6",12,1
"64","D6_13_1","D6",13,1
"65","D6_15_1","D6",15,1
"66","D6_16_1","D6",16,1
"67","D6_17_1","D6",17,1
"68","D6_20_1","D6",20,1
"69","D6_0_2","D6",0,2
"70","D6_1_2","D6",1,2
"71","D6_2_2","D6",2,2
"72","D6_3_2","D6",3,2
"73","D6_4_2","D6",4,2
"74","D6_5_2","D6",5,2
"75","D6_6_2","D6",6,2
"76","D6_7_2","D6",7,2
"77","D6_8_2","D6",8,2
"78","D6_9_2","D6",9,2
"79","D6_11_2","D6",11,2
"80","D6_12_2","D6",12,2
"81","D6_13_2","D6",13,2
"82","D6_15_2","D6",15,2
"83","D6_16_2","D6",16,2
"84","D6_20_2","D6",20,2
"85","D6_0_3","D6",0,3
"86","D6_1_3","D6",1,3
"87","D6_2_3","D6",2,3
"88","D6_3_3","D6",3,3
"89","D6_4_3","D6",4,3
"90","D6_5_3","D6",5,3
"91","D6_6_3","D6",6,3
"92","D6_7_3","D6",7,3
"93","D6_8_3","D6",8,3
"94","D6_9_3","D6",9,3
"95","D6_11_3","D6",11,3
"96","D6_12_3","D6",12,3
"97","D6_13_3","D6",13,3
"98","D6_15_3","D6",15,3
"99","D6_16_3","D6",16,3
"100","D6_17_3","D6",17,3
"101","D6_20_3","D6",20,3
"102","F7_0_1","F7",0,1
"103","F7_1_1","F7",1,1
"104","F7_2_1","F7",2,1
"105","F7_3_1","F7",3,1
"106","F7_4_1","F7",4,1
"107","F7_5_1","F7",5,1
"108","F7_6_1","F7",6,1
"109","F7_7_1","F7",7,1
"110","F7_8_1","F7",8,1
"111","F7_9_1","F7",9,1
"112","F7_11_1","F7",11,1
"113","F7_12_1","F7",12,1
"114","F7_13_1","F7",13,1
"115","F7_15_1","F7",15,1
"116","F7_16_1","F7",16,1
"117","F7_17_1","F7",17,1
"118","F7_20_1","F7",20,1
"119","F7_0_2","F7",0,2
"120","F7_1_2","F7",1,2
"121","F7_2_2","F7",2,2
"122","F7_3_2","F7",3,2
"123","F7_4_2","F7",4,2
"124","F7_5_2","F7",5,2
"125","F7_6_2","F7",6,2
"126","F7_7_2","F7",7,2
"127","F7_8_2","F7",8,2
"128","F7_9_2","F7",9,2
"129","F7_11_2","F7",11,2
"130","F7_12_2","F7",12,2
"131","F7_13_2","F7",13,2
"132","F7_15_2","F7",15,2
"133","F7_16_2","F7",16,2
"134","F7_17_2","F7",17,2
"135","F7_20_2","F7",20,2
"136","F7_0_3","F7",0,3
"137","F7_1_3","F7",1,3
"138","F7_2_3","F7",2,3
"139","F7_3_3","F7",3,3
"140","F7_4_3","F7",4,3
"141","F7_5_3","F7",5,3
"142","F7_6_3","F7",6,3
"143","F7_7_3","F7",7,3
"144","F7_8_3","F7",8,3
"145","F7_9_3","F7",9,3
"146","F7_11_3","F7",11,3
"147","F7_12_3","F7",12,3
"148","F7_13_3","F7",13,3
"149","F7_15_3","F7",15,3
"150","F7_16_3","F7",16,3
"151","F7_17_3","F7",17,3
"152","F7_20_3","F7",20,3
"153","M8_0_1","M8",0,1
"154","M8_1_1","M8",1,1
"155","M8_2_1","M8",2,1
"156","M8_3_1","M8",3,1
"157","M8_4_1","M8",4,1
"158","M8_5_1","M8",5,1
"159","M8_6_1","M8",6,1
"160","M8_7_1","M8",7,1
"161","M8_8_1","M8",8,1
"162","M8_9_1","M8",9,1
"163","M8_11_1","M8",11,1
"164","M8_12_1","M8",12,1
"165","M8_13_1","M8",13,1
"166","M8_15_1","M8",15,1
"167","M8_16_1","M8",16,1
"168","M8_17_1","M8",17,1
"169","M8_20_1","M8",20,1
"170","M8_0_2","M8",0,2
"171","M8_1_2","M8",1,2
"172","M8_2_2","M8",2,2
"173","M8_3_2","M8",3,2
"174","M8_4_2","M8",4,2
"175","M8_5_2","M8",5,2
"176","M8_6_2","M8",6,2
"177","M8_7_2","M8",7,2
"178","M8_8_2","M8",8,2
"179","M8_9_2","M8",9,2
"180","M8_11_2","M8",11,2
"181","M8_12_2","M8",12,2
"182","M8_13_2","M8",13,2
"183","M8_15_2","M8",15,2
"184","M8_16_2","M8",16,2
"185","M8_17_2","M8",17,2
"186","M8_20_2","M8",20,2
"187","M8_0_3","M8",0,3
"188","M8_1_3","M8",1,3
"189","M8_2_3","M8",2,3
"190","M8_3_3","M8",3,3
"191","M8_4_3","M8",4,3
"192","M8_5_3","M8",5,3
"193","M8_6_3","M8",6,3
"194","M8_7_3","M8",7,3
"195","M8_8_3","M8",8,3
"196","M8_9_3","M8",9,3
"197","M8_11_3","M8",11,3
"198","M8_12_3","M8",12,3
"199","M8_13_3","M8",13,3
"200","M8_15_3","M8",15,3
"201","M8_16_3","M8",16,3
"202","M8_17_3","M8",17,3
"203","M8_20_3","M8",20,3
