"","TP","TN","FN","FP","Precision","Sensitivity","Specificity","F1","MCC","batch"
"P_BGI_L3_B1",68,571.666666666667,27.6666666666667,16,0.812843467310392,0.706474880311049,0.972947689488486,0.754723738294092,0.721330820543421,"P_BGI_L3_B1"
"P_ILM_L1_B1",70.3333333333333,577,25.3333333333333,10.6666666666667,0.867166188228807,0.734452271170822,0.981829804775397,0.795283157852706,0.768833091684572,"P_ILM_L1_B1"
"P_ILM_L6_B1",68.6666666666667,565.333333333333,27,21.6666666666667,0.763134489549584,0.714338688960213,0.963499973372315,0.737416965831395,0.697257540035651,"P_ILM_L6_B1"
"P_ILM_L8_B1",74.3333333333333,574.666666666667,21.3333333333333,13,0.855733155733156,0.776251092743551,0.978220150935209,0.813660196291464,0.786470369350257,"P_ILM_L8_B1"
"R_BGI_L3_B1",66.6666666666667,579,29,8.66666666666667,0.88387140446637,0.692284993830141,0.98531954241594,0.775858877856973,0.75252249674909,"R_BGI_L3_B1"
"R_BGI_L6_B1",67.3333333333333,581,28.3333333333333,6.66666666666667,0.910467036813966,0.707837456566403,0.988733570084663,0.796018262805233,0.775827174116362,"R_BGI_L6_B1"
"R_BGI_L7_B1",55.6666666666667,572.333333333333,39.6666666666667,15.3333333333333,0.788328197226503,0.584260214807171,0.973899009491399,0.669501133786848,0.635037317546421,"R_BGI_L7_B1"
"R_ILM_L2_B1",56.6666666666667,564,38.6666666666667,23.6666666666667,0.705147470346258,0.596844780797309,0.959562914956881,0.645534836457881,0.597096095006089,"R_ILM_L2_B1"
"R_ILM_L2_B2",68.3333333333333,578.333333333333,27.3333333333333,9.33333333333333,0.878459080927016,0.715474037675588,0.984086847050254,0.788524105294292,0.763624883473888,"R_ILM_L2_B2"
"R_ILM_L8_B1",61.6666666666667,580.666666666667,34,7,0.89451192082771,0.63998399939406,0.988050903159471,0.745921395882153,0.725884001079887,"R_ILM_L8_B1"
