"","value","name","value2","type"
"4",0.0898369734226066,"lab:protocol",0.09,"techinical"
"5",0.00201146439961133,"sample:protocol",0.002,"mixed"
"7",0.00420440950194861,"lab:platform",0.004,"techinical"
"10",0.0440489581349928,"lab",0.044,"techinical"
"11",0.00688733139223398,"platform:protocol",0.007,"techinical"
"12",0.0866523532271297,"sample",0.087,"biological"
"14",0.751493216846676,"protocol",0.751,"techinical"
"15",0.0033038323321757,"platform",0.003,"techinical"
"16",0.0111487938895189,"resid",0.011,"other"
"111",0.00688733139223398,"platform:protocol",0.007,"techinical"
